,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
2585,"Plymouth, IN Urban Cluster (2010)",42624
2586,"Plymouth, NH Urban Cluster (2010)",47431
2587,"Plymouth, NC Urban Cluster (2010)",25245
2588,"Plymouth, WI Urban Cluster (2010)",55197
2589,"Pocahontas, AR Urban Cluster (2010)",34651
2590,"Pocatello, ID Urbanized Area (2010)",49372
2591,"Pocomoke City, MD Urban Cluster (2010)",38323
2592,"Pocono Woodland Lakes, PA Urban Cluster (2010)",89118
2593,"Poinciana, FL Urban Cluster (2010)",50470
2594,"Poinciana Southwest, FL Urban Cluster (2010)",47621
2595,"Point Pleasant&Gallipolis, OH&WV Urban Cluster (2010)",38912
2596,"Pojoaque, NM Urban Cluster (2010)",51136
2597,"Polk City, IA Urban Cluster (2010)",104917
2598,"Polson, MT Urban Cluster (2010)",37031
2599,"Ponca City, OK Urban Cluster (2010)",44954
2600,"Ponce, PR Urbanized Area (2010)",17296
2601,"Pontiac, IL Urban Cluster (2010)",43810
2602,"Pontotoc, MS Urban Cluster (2010)",51308
2603,"Poolesville, MD Urban Cluster (2010)",167589
2604,"Poplar, MT Urban Cluster (2010)",29583
2605,"Poplar Bluff, MO Urban Cluster (2010)",33955
2606,"Poplar-Cotton Center, CA Urban Cluster (2010)",32135
2607,"Portage, PA Urban Cluster (2010)",48161
2608,"Portage, WI Urban Cluster (2010)",44500
2609,"Portageville, MO Urban Cluster (2010)",30602
2610,"Portales, NM Urban Cluster (2010)",37298
2611,"Port Angeles, WA Urban Cluster (2010)",47493
2612,"Port Arthur, TX Urbanized Area (2010)",52174
2613,"Port Barre, LA Urban Cluster (2010)",32935
2614,"Port Clinton, OH Urban Cluster (2010)",51457
2615,"Porterville, CA Urbanized Area (2010)",41976
2616,"Port Hadlock-Irondale, WA Urban Cluster (2010)",53125
2617,"Port Huron, MI Urbanized Area (2010)",49726
2618,"Port Isabel&Laguna Heights, TX Urban Cluster (2010)",37819
2619,"Port Jervis, NY&PA Urban Cluster (2010)",51372
2620,"Portland, IN Urban Cluster (2010)",39464
2621,"Portland, ME Urbanized Area (2010)",67097
2622,"Portland, MI Urban Cluster (2010)",59028
2623,"Portland, OR&WA Urbanized Area (2010)",74398
2624,"Portland, TN&KY Urban Cluster (2010)",56525
2625,"Port Lavaca, TX Urban Cluster (2010)",56893
2626,"Portola, CA Urban Cluster (2010)",53459
2627,"Port St. Joe, FL Urban Cluster (2010)",49565
2628,"Port St. Lucie, FL Urbanized Area (2010)",55194
2629,"Portsmouth, NH&ME Urbanized Area (2010)",84255
2630,"Portsmouth, OH&KY Urban Cluster (2010)",35568
2631,"Port Townsend, WA Urban Cluster (2010)",50680
2632,"Post, TX Urban Cluster (2010)",46573
2633,"Poteau, OK Urban Cluster (2010)",39688
2634,"Poteet, TX Urban Cluster (2010)",39180
2635,"Potosi, MO Urban Cluster (2010)",35321
2636,"Potsdam, NY Urban Cluster (2010)",34848
2637,"Pottstown, PA Urbanized Area (2010)",74129
2638,"Pottsville, PA Urban Cluster (2010)",47742
2639,"Poughkeepsie&Newburgh, NY&NJ Urbanized Area (2010)",77792
2640,"Powell, WY Urban Cluster (2010)",58088
2641,"Prairie du Chien, WI&IA Urban Cluster (2010)",46672
2642,"Prairie du Sac&Sauk City, WI Urban Cluster (2010)",62912
2643,"Prairie Grove, AR Urban Cluster (2010)",56964
2644,"Prairie View, TX Urban Cluster (2010)",30698
2645,"Pratt, KS Urban Cluster (2010)",50502
2646,"Premont, TX Urban Cluster (2010)",48258
2647,"Prescott, AR Urban Cluster (2010)",33267
2648,"Prescott, WI Urban Cluster (2010)",72500
2649,"Prescott Valley&Prescott, AZ Urbanized Area (2010)",53788
2650,"Presidential Lakes Estates, NJ Urban Cluster (2010)",77733
2651,"Presidio, TX Urban Cluster (2010)",17154
2652,"Presque Isle, ME Urban Cluster (2010)",32382
2653,"Preston, ID Urban Cluster (2010)",46392
2654,"Prestonsburg, KY Urban Cluster (2010)",29037
2655,"Price, UT Urban Cluster (2010)",50625
2656,"Priceville, AL Urban Cluster (2010)",101143
2657,"Prince Frederick, MD Urban Cluster (2010)",77054
2658,"Princess Anne, MD Urban Cluster (2010)",30444
2659,"Princeton, IL Urban Cluster (2010)",53165
2660,"Princeton, IN Urban Cluster (2010)",46818
2661,"Princeton, KY Urban Cluster (2010)",41721
2662,"Princeton, MN Urban Cluster (2010)",37459
2663,"Princeville, HI Urban Cluster (2010)",60694
2664,"Prineville, OR Urban Cluster (2010)",39457
2665,"Providence, RI&MA Urbanized Area (2010)",64980
2666,"Provincetown, MA Urban Cluster (2010)",56490
2667,"Provo&Orem, UT Urbanized Area (2010)",73639
2668,"Pryor Creek, OK Urban Cluster (2010)",45938
2669,"Pueblo, CO Urbanized Area (2010)",44211
2670,"Pukalani&Makawao&Haiku-Pauwela, HI Urban Cluster (2010)",82754
2671,"Pulaski, TN Urban Cluster (2010)",31752
2672,"Pulaski, VA Urban Cluster (2010)",49966
2673,"Pulaski, WI Urban Cluster (2010)",52406
2674,"Pullman, WA Urban Cluster (2010)",31336
2675,"Punxsutawney, PA Urban Cluster (2010)",33319
2676,"Purcell, OK Urban Cluster (2010)",49040
2677,"Purcellville, VA Urban Cluster (2010)",140049
2678,"Quarryville, PA Urban Cluster (2010)",53468
2679,"Quartzsite, AZ Urban Cluster (2010)",20707
2680,"Quincy, FL Urban Cluster (2010)",34448
2681,"Quincy, IL Urban Cluster (2010)",48645
2682,"Quincy, WA Urban Cluster (2010)",60337
2683,"Quitman, GA Urban Cluster (2010)",28009
2684,"Quitman, TX Urban Cluster (2010)",43285
2685,"Racine, WI Urbanized Area (2010)",54127
2686,"Rainbow Lakes Estates, FL Urban Cluster (2010)",48116
2687,"Raleigh, NC Urbanized Area (2010)",79632
2688,"Ramona, CA Urban Cluster (2010)",92690
2689,"Ramseur, NC Urban Cluster (2010)",29179
2690,"Rancho Calaveras&Valley Springs, CA Urban Cluster (2010)",77756
2691,"Rancho Murieta, CA Urban Cluster (2010)",108525
2692,"Rantoul, IL Urban Cluster (2010)",42724
2693,"Rapid City, SD Urbanized Area (2010)",55172
2694,"Rathdrum, ID Urban Cluster (2010)",56720
2695,"Raton, NM Urban Cluster (2010)",31694
2696,"Ravena, NY Urban Cluster (2010)",52500
2697,"Ravenswood, WV Urban Cluster (2010)",35986
2698,"Rawlins, WY Urban Cluster (2010)",64444
2699,"Raymond, MS Urban Cluster (2010)",39529
2700,"Raymond, WA Urban Cluster (2010)",43220
2701,"Raymondville, TX Urban Cluster (2010)",31110
2702,"Rayne, LA Urban Cluster (2010)",36011
2703,"Rayville, LA Urban Cluster (2010)",22040
2704,"Reading, PA Urbanized Area (2010)",57472
2705,"Red Bluff, CA Urban Cluster (2010)",33842
2706,"Red Bud, IL Urban Cluster (2010)",58409
2707,"Redding, CA Urbanized Area (2010)",52304
2708,"Red Hook, NY Urban Cluster (2010)",85764
2709,"Redmond, OR Urban Cluster (2010)",63497
2710,"Red Oak, IA Urban Cluster (2010)",42923
2711,"Red Springs, NC Urban Cluster (2010)",28009
2712,"Red Wing, MN Urban Cluster (2010)",53709
2713,"Redwood Falls, MN Urban Cluster (2010)",50000
2714,"Reedley&Dinuba, CA Urban Cluster (2010)",44780
2715,"Reedsburg, WI Urban Cluster (2010)",52846
2716,"Reedsport, OR Urban Cluster (2010)",39107
2717,"Refugio, TX Urban Cluster (2010)",52929
2718,"Reidsville, GA Urban Cluster (2010)",28732
2719,"Reidsville, NC Urban Cluster (2010)",32697
2720,"Reno, NV&CA Urbanized Area (2010)",63340
2721,"Rensselaer, IN Urban Cluster (2010)",47227
2722,"Rexburg, ID Urban Cluster (2010)",31116
2723,"Reynoldsville, PA Urban Cluster (2010)",35148
2724,"Rhinebeck, NY Urban Cluster (2010)",61618
2725,"Rhinelander, WI Urban Cluster (2010)",42882
2726,"Rice Lake, WI Urban Cluster (2010)",47941
2727,"Richfield, UT Urban Cluster (2010)",45455
2728,"Richgrove, CA Urban Cluster (2010)",20962
2729,"Richland Center, WI Urban Cluster (2010)",45341
2730,"Richlands, VA Urban Cluster (2010)",32662
2731,"Richlands South, NC Urban Cluster (2010)",60308
2732,"Richmond, IN&OH Urban Cluster (2010)",41825
2733,"Richmond, KY Urban Cluster (2010)",40607
2734,"Richmond, MI Urban Cluster (2010)",59365
2735,"Richmond, MO Urban Cluster (2010)",51961
2736,"Richmond, VA Urbanized Area (2010)",65526
2737,"Ridgecrest, CA Urban Cluster (2010)",69348
2738,"Ridgefield, WA Urban Cluster (2010)",91301
2739,"Ridgeland, SC Urban Cluster (2010)",31003
2740,"Ridge Manor, FL Urban Cluster (2010)",41354
2741,"Ridgway, PA Urban Cluster (2010)",44760
2742,"Rifle, CO Urban Cluster (2010)",65735
2743,"Rigby, ID Urban Cluster (2010)",56566
2744,"Rincon, GA Urban Cluster (2010)",66644
2745,"Rio Bravo&El Cenizo, TX Urban Cluster (2010)",21589
2746,"Rio Dell, CA Urban Cluster (2010)",39980
2747,"Rio Grande City&Roma, TX Urban Cluster (2010)",27455
2748,"Rio Hondo, TX Urban Cluster (2010)",38620
2749,"Rio Rico Northeast, AZ Urban Cluster (2010)",47049
2750,"Rio Vista, CA Urban Cluster (2010)",69134
2751,"Ripley, MS Urban Cluster (2010)",38535
2752,"Ripley, TN Urban Cluster (2010)",32917
2753,"Ripley, WV Urban Cluster (2010)",37292
2754,"Ripon, WI Urban Cluster (2010)",51134
2755,"Riverdale, CA Urban Cluster (2010)",56123
2756,"River Falls, WI Urban Cluster (2010)",60846
2757,"Riverside&San Bernardino, CA Urbanized Area (2010)",67004
2758,"Riverton, WY Urban Cluster (2010)",51054
2759,"Roanoke, AL Urban Cluster (2010)",41958
2760,"Roanoke, VA Urbanized Area (2010)",54209
2761,"Roanoke Rapids, NC Urban Cluster (2010)",36524
2762,"Roaring Spring, PA Urban Cluster (2010)",43239
2763,"Robertsdale, AL Urban Cluster (2010)",52678
2764,"Robinson, IL Urban Cluster (2010)",44771
2765,"Robstown, TX Urban Cluster (2010)",38482
2766,"Rochelle, IL Urban Cluster (2010)",53404
2767,"Rochester, IN Urban Cluster (2010)",55122
2768,"Rochester, MN Urbanized Area (2010)",72861
2769,"Rochester, NY Urbanized Area (2010)",59041
2770,"Rockdale, TX Urban Cluster (2010)",42411
2771,"Rockford, IL Urbanized Area (2010)",53660
2772,"Rockford, MN Urban Cluster (2010)",65428
2773,"Rock Hill, SC Urbanized Area (2010)",56660
2774,"Rockingham&Hamlet, NC Urban Cluster (2010)",30691
2775,"Rockland, ME Urban Cluster (2010)",43475
2776,"Rockmart, GA Urban Cluster (2010)",38125
2777,"Rockport, TX Urban Cluster (2010)",46189
2778,"Rock Springs, WY Urban Cluster (2010)",76176
2779,"Rock Valley, IA Urban Cluster (2010)",67690
2780,"Rockville, IN Urban Cluster (2010)",41992
2781,"Rocky Ford, CO Urban Cluster (2010)",31936
2782,"Rocky Mount, NC Urbanized Area (2010)",42496
2783,"Rocky Mount, VA Urban Cluster (2010)",40833
2784,"Rogers City, MI Urban Cluster (2010)",41339
2785,"Rogersville, MO Urban Cluster (2010)",42056
2786,"Rogersville, TN Urban Cluster (2010)",46250
2787,"Rolla, MO Urban Cluster (2010)",38503
2788,"Romancoke, MD Urban Cluster (2010)",94167
2789,"Rome, GA Urbanized Area (2010)",41647
2790,"Rome, NY Urban Cluster (2010)",49044
2791,"Roosevelt, UT Urban Cluster (2010)",62050
2792,"Rosamond, CA Urban Cluster (2010)",57122
2793,"Roseau, MN Urban Cluster (2010)",53971
2794,"Roseburg, OR Urban Cluster (2010)",46413
2795,"Rose Hill, KS Urban Cluster (2010)",72298
2796,"Roswell, NM Urban Cluster (2010)",42726
2797,"Round Lake Beach&McHenry&Grayslake, IL&WI Urbanized Area (2010)",82653
2798,"Roxboro, NC Urban Cluster (2010)",33100
2799,"Roxborough Park, CO Urban Cluster (2010)",134555
2800,"Royston, GA Urban Cluster (2010)",24097
2801,"Ruckersville, VA Urban Cluster (2010)",80081
2802,"Rugby, ND Urban Cluster (2010)",46466
2803,"Ruidoso, NM Urban Cluster (2010)",48712
2804,"Ruleville, MS Urban Cluster (2010)",31667
2805,"Rumford, ME Urban Cluster (2010)",34946
2806,"Running Springs, CA Urban Cluster (2010)",58875
2807,"Rupert, ID Urban Cluster (2010)",41395
2808,"Rush City, MN Urban Cluster (2010)",46440
2809,"Rushville, IL Urban Cluster (2010)",41599
2810,"Rushville, IN Urban Cluster (2010)",49805
2811,"Rusk, TX Urban Cluster (2010)",53015
2812,"Russell, KS Urban Cluster (2010)",39896
2813,"Russells Point, OH Urban Cluster (2010)",43580
2814,"Russellville, AL Urban Cluster (2010)",43526
2815,"Russellville, AR Urban Cluster (2010)",36308
2816,"Russellville, KY Urban Cluster (2010)",36979
2817,"Ruston, LA Urban Cluster (2010)",27433
2818,"Rutland, VT Urban Cluster (2010)",47806
2819,"Sabetha, KS Urban Cluster (2010)",54662
2820,"Sabina, OH Urban Cluster (2010)",36445
2821,"Sacramento, CA Urbanized Area (2010)",71559
2822,"Safford, AZ Urban Cluster (2010)",52686
2823,"Saginaw, MI Urbanized Area (2010)",39902
2824,"Sahuarita&Green Valley, AZ Urban Cluster (2010)",60019
2825,"St. Albans, VT Urban Cluster (2010)",56650
2826,"St. Anthony, ID Urban Cluster (2010)",45441
2827,"St. Augustine, FL Urbanized Area (2010)",58712
2828,"St. Charles, MN Urban Cluster (2010)",71583
2829,"St. Clair, MO Urban Cluster (2010)",41712
2830,"St. Cloud, MN Urbanized Area (2010)",52721
2831,"Ste. Genevieve, MO Urban Cluster (2010)",53472
2832,"St. Francis, MN Urban Cluster (2010)",83429
2833,"St. George, UT Urbanized Area (2010)",59307
2834,"St. Helena, CA Urban Cluster (2010)",90141
2835,"St. Helens, OR Urban Cluster (2010)",62197
2836,"St. Ignace, MI Urban Cluster (2010)",41474
2837,"St. James, MN Urban Cluster (2010)",48100
2838,"St. James, MO Urban Cluster (2010)",42463
2839,"St. James, NC Urban Cluster (2010)",89183
2840,"St. Johns, AZ Urban Cluster (2010)",31935
2841,"St. Johns, MI Urban Cluster (2010)",56063
2842,"St. Johnsbury, VT Urban Cluster (2010)",34120
2843,"St. Joseph, IL Urban Cluster (2010)",96075
2844,"St. Joseph, MO&KS Urbanized Area (2010)",48516
2845,"St. Louis, MO&IL Urbanized Area (2010)",63381
2846,"St. Maries, ID Urban Cluster (2010)",44865
2847,"St. Martinville, LA Urban Cluster (2010)",32193
2848,"St. Marys, KS Urban Cluster (2010)",60656
2849,"St. Marys, OH Urban Cluster (2010)",58333
2850,"St. Marys, PA Urban Cluster (2010)",49538
2851,"St. Marys, WV&OH Urban Cluster (2010)",46389
2852,"St. Marys&Kingsland, GA Urban Cluster (2010)",54655
2853,"St. Pauls, NC Urban Cluster (2010)",32679
2854,"St. Peter, MN Urban Cluster (2010)",55970
2855,"St. Simons, GA Urban Cluster (2010)",87397
2856,"Salamanca, NY Urban Cluster (2010)",32014
2857,"Salem, IL Urban Cluster (2010)",37727
2858,"Salem, IN Urban Cluster (2010)",36411
2859,"Salem, MO Urban Cluster (2010)",31211
2860,"Salem, NJ Urban Cluster (2010)",28208
2861,"Salem, OH Urban Cluster (2010)",45625
2862,"Salem, OR Urbanized Area (2010)",57760
2863,"Salida, CO Urban Cluster (2010)",52083
2864,"Salina, KS Urban Cluster (2010)",50156
2865,"Salinas, CA Urbanized Area (2010)",65491
2866,"Salisbury, MD&DE Urbanized Area (2010)",52425
2867,"Sallisaw, OK Urban Cluster (2010)",32145
2868,"Salmon, ID Urban Cluster (2010)",39535
2869,"Saltillo, MS Urban Cluster (2010)",58190
2870,"Salt Lake City&West Valley City, UT Urbanized Area (2010)",74272
2871,"Saluda, SC Urban Cluster (2010)",31797
2872,"San Angelo, TX Urbanized Area (2010)",51585
2873,"San Antonio, TX Urbanized Area (2010)",58038
2874,"San Carlos, AZ Urban Cluster (2010)",26799
2875,"Sandersville, GA Urban Cluster (2010)",32670
2876,"San Diego, CA Urbanized Area (2010)",78333
2877,"San Diego, TX Urban Cluster (2010)",24054
2878,"Sandpoint, ID Urban Cluster (2010)",45590
2879,"Sandusky, MI Urban Cluster (2010)",40024
2880,"Sandusky, OH Urban Cluster (2010)",46889
2881,"Sandy, OR Urban Cluster (2010)",72794
2882,"Sanford, ME Urban Cluster (2010)",42874
2883,"Sanford, NC Urban Cluster (2010)",47218
2884,"San Francisco&Oakland, CA Urbanized Area (2010)",103442
2885,"Sanger, CA Urban Cluster (2010)",45226
2886,"Sanger, TX Urban Cluster (2010)",64724
2887,"San Germán&Cabo Rojo&Sabana Grande, PR Urbanized Area (2010)",16499
2888,"San Joaquin, CA Urban Cluster (2010)",34426
2889,"San Jose, CA Urbanized Area (2010)",124724
2890,"San Juan, PR Urbanized Area (2010)",23681
2891,"San Luis, AZ Urban Cluster (2010)",36592
2892,"San Luis Obispo, CA Urbanized Area (2010)",58016
2893,"San Manuel, AZ Urban Cluster (2010)",44828
2894,"San Marcos, TX Urbanized Area (2010)",40637
2895,"San Saba, TX Urban Cluster (2010)",34593
2896,"Santa Barbara, CA Urbanized Area (2010)",80322
2897,"Santa Clarita, CA Urbanized Area (2010)",104480
2898,"Santa Cruz, CA Urbanized Area (2010)",85799
2899,"Santa Fe, NM Urbanized Area (2010)",57292
2900,"Santa Isabel, PR Urban Cluster (2010)",15895
2901,"Santa Maria, CA Urbanized Area (2010)",69574
2902,"Santa Paula, CA Urban Cluster (2010)",60639
2903,"Santaquin, UT Urban Cluster (2010)",72016
2904,"Santa Rosa, CA Urbanized Area (2010)",78540
2905,"Santa Rosa, NM Urban Cluster (2010)",25774
2906,"Santa Rosa Beach, FL Urban Cluster (2010)",88803
2907,"Santo Domingo Pueblo, NM Urban Cluster (2010)",35707
2908,"Saranac Lake, NY Urban Cluster (2010)",50471
2909,"Sarasota&Bradenton, FL Urbanized Area (2010)",58656
2910,"Saratoga Springs, NY Urbanized Area (2010)",83231
2911,"Sauk Centre, MN Urban Cluster (2010)",58487
2912,"Sault Ste. Marie, MI Urban Cluster (2010)",40437
2913,"Savanna, IL&IA Urban Cluster (2010)",38431
2914,"Savannah, GA Urbanized Area (2010)",55914
2915,"Savannah, MO Urban Cluster (2010)",49058
2916,"Savannah, TN Urban Cluster (2010)",36732
2917,"Saw Creek, PA Urban Cluster (2010)",60294
2918,"Sayre, OK Urban Cluster (2010)",37000
2919,"Sayre&Waverly, PA&NY Urban Cluster (2010)",39412
2920,"Schulenburg, TX Urban Cluster (2010)",47000
2921,"Schuyler, NE Urban Cluster (2010)",64125
2922,"Scott City, KS Urban Cluster (2010)",62917
2923,"Scott City, MO Urban Cluster (2010)",42273
2924,"Scottsbluff, NE Urban Cluster (2010)",46877
2925,"Scottsboro, AL Urban Cluster (2010)",38427
2926,"Scottsburg, IN Urban Cluster (2010)",37448
2927,"Scottsville, KY Urban Cluster (2010)",33456
2928,"Scranton, PA Urbanized Area (2010)",50208
2929,"Sealy, TX Urban Cluster (2010)",56934
2930,"Searcy, AR Urban Cluster (2010)",38578
2931,"Seaside, OR Urban Cluster (2010)",49648
2932,"Seaside&Monterey, CA Urbanized Area (2010)",77542
2933,"Seattle, WA Urbanized Area (2010)",86375
2934,"Sebastian&Vero Beach South&Florida Ridge, FL Urbanized Area (2010)",52911
2935,"Sebring&Avon Park, FL Urbanized Area (2010)",39564
2936,"Sedalia, MO Urban Cluster (2010)",41926
2937,"Sedona, AZ Urban Cluster (2010)",58330
2938,"Seguin, TX Urban Cluster (2010)",44922
2939,"Selma, AL Urban Cluster (2010)",27532
2940,"Selma, CA Urban Cluster (2010)",50499
2941,"Selmer, TN Urban Cluster (2010)",32350
2942,"Seminole, OK Urban Cluster (2010)",33785
2943,"Seminole, TX Urban Cluster (2010)",58068
2944,"Senatobia, MS Urban Cluster (2010)",49929
2945,"Seneca, SC Urban Cluster (2010)",41606
2946,"Sequim, WA Urban Cluster (2010)",51962
2947,"Seven Lakes, NC Urban Cluster (2010)",99063
2948,"Severance, CO Urban Cluster (2010)",101204
2949,"Sevierville, TN Urban Cluster (2010)",44788
2950,"Seville, OH Urban Cluster (2010)",60813
2951,"Seward, NE Urban Cluster (2010)",67888
2952,"Seymour, IN Urban Cluster (2010)",46324
2953,"Seymour (Outagamie County), WI Urban Cluster (2010)",57577
2954,"Shady Cove, OR Urban Cluster (2010)",39622
2955,"Shady Side&Deale, MD Urban Cluster (2010)",100018
2956,"Shafter, CA Urban Cluster (2010)",44967
2957,"Shallowater, TX Urban Cluster (2010)",69808
2958,"Shamokin&Mount Carmel, PA Urban Cluster (2010)",35964
2959,"Shannondale, WV Urban Cluster (2010)",72399
2960,"Shawano, WI Urban Cluster (2010)",46137
2961,"Shawnee, OK Urban Cluster (2010)",40706
2962,"Sheboygan, WI Urbanized Area (2010)",56012
2963,"Shelby, MT Urban Cluster (2010)",45605
2964,"Shelby, NC Urban Cluster (2010)",39289
2965,"Shelby, OH Urban Cluster (2010)",47222
2966,"Shelbyville, IL Urban Cluster (2010)",41233
2967,"Shelbyville, IN Urban Cluster (2010)",53171
2968,"Shelbyville, KY Urban Cluster (2010)",57037
2969,"Shelbyville, TN Urban Cluster (2010)",41246
2970,"Sheldon, IA Urban Cluster (2010)",53110
2971,"Shelley, ID Urban Cluster (2010)",55349
2972,"Shelton, WA Urban Cluster (2010)",50548
2973,"Shenandoah, IA Urban Cluster (2010)",43050
2974,"Shenandoah&Mahanoy City&Frackville, PA Urban Cluster (2010)",38606
2975,"Shepherdstown, WV&MD Urban Cluster (2010)",71563
2976,"Sheridan, AR Urban Cluster (2010)",49356
2977,"Sheridan, IN Urban Cluster (2010)",50189
2978,"Sheridan, OR Urban Cluster (2010)",49824
2979,"Sheridan, WY Urban Cluster (2010)",54991
2980,"Sherman, TX Urbanized Area (2010)",46282
2981,"Shippensburg, PA Urban Cluster (2010)",47176
2982,"Shiprock, NM Urban Cluster (2010)",33623
2983,"Shorewood Forest, IN Urban Cluster (2010)",123095
2984,"Show Low, AZ Urban Cluster (2010)",43221
2985,"Shreveport, LA Urbanized Area (2010)",43378
2986,"Sibley, IA Urban Cluster (2010)",56667
2987,"Sidney, MT Urban Cluster (2010)",58781
2988,"Sidney, NE Urban Cluster (2010)",54137
2989,"Sidney, NY Urban Cluster (2010)",39338
2990,"Sidney, OH Urban Cluster (2010)",53016
2991,"Sierra View&Indian Mountain Lake, PA Urban Cluster (2010)",67467
2992,"Sierra Vista, AZ Urbanized Area (2010)",57961
2993,"Sikeston, MO Urban Cluster (2010)",39852
2994,"Siler City, NC Urban Cluster (2010)",38236
2995,"Siloam Springs, AR&OK Urban Cluster (2010)",47951
2996,"Silsbee, TX Urban Cluster (2010)",45746
2997,"Silt, CO Urban Cluster (2010)",58663
2998,"Silver City, NM Urban Cluster (2010)",35116
2999,"Silver Creek, NY Urban Cluster (2010)",56699
3000,"Silver Lakes, CA Urban Cluster (2010)",69375
3001,"Silverthorne&Frisco, CO Urban Cluster (2010)",77264
3002,"Silverton, OR Urban Cluster (2010)",64468
3003,"Simi Valley, CA Urbanized Area (2010)",98285
3004,"Sinton, TX Urban Cluster (2010)",30337
3005,"Sioux Center, IA Urban Cluster (2010)",70074
3006,"Sioux City, IA&NE&SD Urbanized Area (2010)",58065
3007,"Sioux Falls, SD Urbanized Area (2010)",59710
3008,"Sissonville, WV Urban Cluster (2010)",42045
3009,"Sitka, AK Urban Cluster (2010)",72477
3010,"Skaneateles, NY Urban Cluster (2010)",90000
3011,"Skiatook, OK Urban Cluster (2010)",44375
3012,"Skowhegan, ME Urban Cluster (2010)",38582
3013,"Slaton, TX Urban Cluster (2010)",36705
3014,"Sleepy Eye, MN Urban Cluster (2010)",51447
3015,"Slidell, LA Urbanized Area (2010)",60844
3016,"Slippery Rock, PA Urban Cluster (2010)",37474
3017,"Smithfield, NC Urban Cluster (2010)",39616
3018,"Smithfield, VA Urban Cluster (2010)",68604
3019,"Smithton, IL Urban Cluster (2010)",80625
3020,"Smithville, TN Urban Cluster (2010)",34563
3021,"Smithville, TX Urban Cluster (2010)",53583
3022,"Smithville North, MO Urban Cluster (2010)",83095
3023,"Sneads Ferry, NC Urban Cluster (2010)",52656
3024,"Snoqualmie, WA Urban Cluster (2010)",125686
3025,"Snowflake, AZ Urban Cluster (2010)",44375
3026,"Snyder, TX Urban Cluster (2010)",53346
3027,"Social Circle, GA Urban Cluster (2010)",52524
3028,"Socorro, NM Urban Cluster (2010)",42464
3029,"Soda Springs, ID Urban Cluster (2010)",56667
3030,"Sodus, NY Urban Cluster (2010)",40682
3031,"Soldotna, AK Urban Cluster (2010)",67296
3032,"Soledad, CA Urban Cluster (2010)",64266
3033,"Solvang&Buellton&Santa Ynez, CA Urban Cluster (2010)",91114
3034,"Somerset, KY Urban Cluster (2010)",41712
3035,"Somerset, MI Urban Cluster (2010)",69228
3036,"Somerset, PA Urban Cluster (2010)",37141
3037,"Somerset, WI Urban Cluster (2010)",68083
3038,"Somerton, AZ Urban Cluster (2010)",38147
3039,"Sonoma, CA Urban Cluster (2010)",80556
3040,"Sonora, TX Urban Cluster (2010)",54444
3041,"Sonora&Jamestown&Phoenix Lake, CA Urban Cluster (2010)",61168
3042,"Soperton, GA Urban Cluster (2010)",40385
3043,"South Bend, IN&MI Urbanized Area (2010)",50409
3044,"South Boston, VA Urban Cluster (2010)",40283
3045,"South Deerfield, MA Urban Cluster (2010)",59716
3046,"South Fallsburg, NY Urban Cluster (2010)",29375
3047,"South Haven, MI Urban Cluster (2010)",48209
3048,"South Hill, VA Urban Cluster (2010)",34622
3049,"South Lake Tahoe, CA&NV Urban Cluster (2010)",56027
3050,"South Lyon&Howell, MI Urbanized Area (2010)",80234
3051,"Southold, NY Urban Cluster (2010)",64596
3052,"South Paris, ME Urban Cluster (2010)",37826
3053,"South Pittsburg, TN&AL Urban Cluster (2010)",34025
3054,"South Vacherie, LA Urban Cluster (2010)",61250
3055,"Sparta, GA Urban Cluster (2010)",22259
3056,"Sparta, IL Urban Cluster (2010)",49637
3057,"Sparta, MI Urban Cluster (2010)",44351
3058,"Sparta, TN Urban Cluster (2010)",33870
3059,"Sparta, WI Urban Cluster (2010)",50645
3060,"Spartanburg, SC Urbanized Area (2010)",50510
3061,"Spearfish, SD Urban Cluster (2010)",45794
3062,"Spearman, TX Urban Cluster (2010)",29548
3063,"Spencer, IA Urban Cluster (2010)",46439
3064,"Spencer, WV Urban Cluster (2010)",30614
3065,"Spirit Lake, IA Urban Cluster (2010)",55160
3066,"Spokane, WA Urbanized Area (2010)",54673
3067,"Spooner, WI Urban Cluster (2010)",40181
3068,"Spout Springs, NC Urban Cluster (2010)",75359
3069,"Spring Creek North, NV Urban Cluster (2010)",71658
3070,"Spring Creek South, NV Urban Cluster (2010)",109034
3071,"Springfield, GA Urban Cluster (2010)",50754
3072,"Springfield, IL Urbanized Area (2010)",58412
3073,"Springfield, MA&CT Urbanized Area (2010)",58804
3074,"Springfield, MO Urbanized Area (2010)",44785
3075,"Springfield, OH Urbanized Area (2010)",44948
3076,"Springfield, TN Urban Cluster (2010)",47968
3077,"Springfield, VT Urban Cluster (2010)",36216
3078,"Spring Hill, FL Urbanized Area (2010)",48147
3079,"Spring Hill, KS Urban Cluster (2010)",76875
3080,"Springhill, LA Urban Cluster (2010)",18915
3081,"Spring Hill, TN Urban Cluster (2010)",91326
3082,"Springs, NY Urban Cluster (2010)",89119
3083,"Springtown, TX Urban Cluster (2010)",54861
3084,"Springville, AL Urban Cluster (2010)",98094
3085,"Springville, NY Urban Cluster (2010)",56417
3086,"Spruce Pine, NC Urban Cluster (2010)",37941
